#BIOGRID ID	ENTREZ GENE ID	SYSTEMATIC NAME	OFFICIAL SYMBOL	SYNONYMS	ORGANISM ID	ORGANISM NAME	INTERACTION COUNT	PTM COUNT	CHEMICAL INTERACTION COUNT	SOURCE	CATEGORY VALUES	CATEGORY IDS	CATEGORY TAGS	CATEGORY EVIDENCE VALUES	CATEGORY EVIDENCE IDS	CATEGORY EVIDENCE CLASSES	CATEGORY EVIDENCE METHODS	SUBCATEGORY VALUES	SUBCATEGORY IDS	SUBCATEGORY TAGS	SUBCATEGORY EVIDENCE VALUES	SUBCATEGORY EVIDENCE IDS	SUBCATEGORY EVIDENCE CLASSES	SUBCATEGORY EVIDENCE METHODS
108621	2335	-	FN1	CIG|ED-B|FINC|FN|FNZ|GFND|GFND2|LETS|MSF	9606	Homo sapiens	869	32	1	BIOGRID	Cytoskeleton/Motility	-	-	-	-	-	-	Oncogene	-	-	-	-	-	-
108997	2735	-	GLI1	GLI	9606	Homo sapiens	195	1	0	BIOGRID	Trancription	-	-	-	-	-	-	Oncogene	-	-	-	-	-	-
109355	3110	-	MNX1	HB9|HLXB9|HOXHB9|SCRA1	9606	Homo sapiens	7	5	0	BIOGRID	Trancription	-	-	-	-	-	-	Oncogene	-	-	-	-	-	-
111308	5290	-	PIK3CA	CLOVE|CWS5|MCAP|MCM|MCMTC|PI3K|p110-alpha	9606	Homo sapiens	227	10	2	BIOGRID	Signal Transduction	-	-	-	-	-	-	Oncogene	-	-	-	-	-	-
111632	5651	-	TMPRSS15	ENTK|PRSS7	9606	Homo sapiens	2	0	0	BIOGRID	Protease	-	-	-	-	-	-	-	-	-	-	-	-	-
107442	1007	-	CDH9	-	9606	Homo sapiens	5	0	0	BIOGRID	Cytoskeleton/Motility	-	-	-	-	-	-	-	-	-	-	-	-	-
124167	84643	-	KIF2B	-	9606	Homo sapiens	86	1	0	BIOGRID	Cytoskeleton/Motility	-	-	-	-	-	-	-	-	-	-	-	-	-
113900	8295	-	TRRAP	PAF350/400|PAF400|STAF40|TR-AP|Tra1	9606	Homo sapiens	384	113	0	BIOGRID	Trancription	-	-	-	-	-	-	-	-	-	-	-	-	-
107250	799	-	CALCR	CRT|CT-R|CTR|CTR1	9606	Homo sapiens	8	0	10	BIOGRID	Signal Transduction	-	-	-	-	-	-	-	-	-	-	-	-	-
109211	2956	-	MSH6	GTBP|GTMBP|HNPCC5|HSAP|p160	9606	Homo sapiens	236	299	0	BIOGRID	DNA Damage Response	-	-	-	-	-	-	-	-	-	-	-	-	-
108452	2153	-	F5	FVL|PCCF|RPRGL1|THPH2	9606	Homo sapiens	22	0	6	BIOGRID	Protease|Translation	-	-	-	-	-	-	-	-	-	-	-	-	-
128536	219438	-	OR5D18	OR11-143	9606	Homo sapiens	0	0	0	BIOGRID	Signal Transduction	-	-	-	-	-	-	-	-	-	-	-	-	-
115958	10735	RP11-517O1.1	STAG2	SA-2|SA2|SCC3B|bA517O1.1	9606	Homo sapiens	297	200	0	BIOGRID	Trancription	-	-	-	-	-	-	-	-	-	-	-	-	-
126923	145581	-	LRFN5	C14orf146|FIGLER8|SALM5	9606	Homo sapiens	1	0	0	BIOGRID	Cytoskeleton/Motility	-	-	-	-	-	-	-	-	-	-	-	-	-
125965	126206	-	NLRP5	CLR19.8|MATER|NALP5|PAN11|PYPAF8	9606	Homo sapiens	13	1	0	BIOGRID	Other	-	-	-	-	-	-	-	-	-	-	-	-	-
115768	10512	-	SEMA3C	SEMAE|SemE	9606	Homo sapiens	47	0	0	BIOGRID	Translation	-	-	-	-	-	-	Oncogene	-	-	-	-	-	-
128550	219527	-	LRRC55	-	9606	Homo sapiens	64	0	0	BIOGRID	Transport/Ion Channel	-	-	-	-	-	-	-	-	-	-	-	-	-
115485	10188	-	TNK2	ACK|ACK-1|ACK1|p21cdc42Hs	9606	Homo sapiens	219	50	31	BIOGRID	Signal Transduction	-	-	-	-	-	-	Oncogene	-	-	-	-	-	-
111630	5649	-	RELN	LIS2|PRO1598|RL	9606	Homo sapiens	33	2	0	BIOGRID	Cytoskeleton/Motility|Translation	-	-	-	-	-	-	-	-	-	-	-	-	-
138312	442444	RP11-31H15.5	FAM47C	-	9606	Homo sapiens	0	0	0	BIOGRID	Other	-	-	-	-	-	-	-	-	-	-	-	-	-
120683	55503	-	TRPV6	ABP/ZF|CAT1|CATL|ECAC2|HSA277909|LP6728|ZFAB	9606	Homo sapiens	20	1	0	BIOGRID	Transport/Ion Channel	-	-	-	-	-	-	-	-	-	-	-	-	-
128764	221895	tcag7.981	JAZF1	TIP27|ZNF802	9606	Homo sapiens	60	3	0	BIOGRID	Trancription	-	-	-	-	-	-	-	-	-	-	-	-	-
126608	140453	-	MUC17	MUC3	9606	Homo sapiens	1	0	0	BIOGRID	Cytoskeleton/Motility	-	-	-	-	-	-	-	-	-	-	-	-	-
112174	6262	RP4-626J7.1	RYR2	ARVC2|ARVD2|RYR-2|RyR|VTSIP	9606	Homo sapiens	51	33	2	BIOGRID	Signal Transduction|Transport/Ion Channel	-	-	-	-	-	-	-	-	-	-	-	-	-
126099	128209	RP4-675G8.1	KLF17	ZNF393|Zfp393	9606	Homo sapiens	3	0	0	BIOGRID	Trancription	-	-	-	-	-	-	Tumor suppressor	-	-	-	-	-	-
111700	5728	-	PTEN	10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|TEP1	9606	Homo sapiens	1079	9	0	BIOGRID	Signal Transduction	-	-	-	-	-	-	Tumor suppressor	-	-	-	-	-	-
112919	7062	RP11-107M16.3	TCHH	THH|THL|TRHY	9606	Homo sapiens	18	1	0	BIOGRID	Signal Transduction	-	-	-	-	-	-	-	-	-	-	-	-	-
110015	3815	-	KIT	C-Kit|CD117|PBT|SCFR	9606	Homo sapiens	179	25	31	BIOGRID	Signal Transduction	-	-	-	-	-	-	Oncogene	-	-	-	-	-	-
107451	1016	-	CDH18	CDH14|CDH14L|CDH24	9606	Homo sapiens	5	28	0	BIOGRID	Cytoskeleton/Motility	-	-	-	-	-	-	-	-	-	-	-	-	-
111313	5295	-	PIK3R1	AGM7|GRB1|IMD36|p85|p85-ALPHA	9606	Homo sapiens	754	32	7	BIOGRID	Signal Transduction	-	-	-	-	-	-	-	-	-	-	-	-	-
107456	1021	-	CDK6	MCPH12|PLSTIRE	9606	Homo sapiens	336	49	13	BIOGRID	Signal Transduction	-	-	-	-	-	-	Cancer driver	-	-	-	-	-	-
110465	4322	-	MMP13	CLG3|MANDP1|MMP-13	9606	Homo sapiens	16	0	20	BIOGRID	Protease|Translation	-	-	-	-	-	-	Oncogene	-	-	-	-	-	-
113852	8216	-	LZTR1	BTBD29|LZTR-1|SWNTS2	9606	Homo sapiens	169	7	0	BIOGRID	Trancription	-	-	-	-	-	-	-	-	-	-	-	-	-
108488	2194	-	FASN	FAS|OA-519|SDR27X1	9606	Homo sapiens	972	142	13	BIOGRID	Chromatin Modification	-	-	-	-	-	-	Oncogene	-	-	-	-	-	-
112586	6708	-	SPTA1	EL2|HPP|HS3|SPH3|SPTA	9606	Homo sapiens	109	11	0	BIOGRID	Cytoskeleton/Motility	-	-	-	-	-	-	-	-	-	-	-	-	-
108118	1780	-	DYNC1I1	DNCI1|DNCIC1	9606	Homo sapiens	147	35	0	BIOGRID	Cytoskeleton/Motility	-	-	-	-	-	-	-	-	-	-	-	-	-
120228	54880	-	BCOR	ANOP2|MAA2|MCOPS2	9606	Homo sapiens	325	223	0	BIOGRID	Trancription	-	-	-	-	-	-	-	-	-	-	-	-	-
128082	170690	-	ADAMTS16	ADAMTS16s	9606	Homo sapiens	2	0	0	BIOGRID	Protease|Translation	-	-	-	-	-	-	-	-	-	-	-	-	-
112306	6406	-	SEMG1	CT103|SEMG|SGI|dJ172H20.2	9606	Homo sapiens	110	3	0	BIOGRID	Translation	-	-	-	-	-	-	-	-	-	-	-	-	-
129129	255967	RP11-179F17.3	PAN3	-	9606	Homo sapiens	70	90	0	BIOGRID	RNA binding	-	-	-	-	-	-	-	-	-	-	-	-	-
108356	2042	-	EPHA3	EK4|ETK|ETK1|HEK|HEK4|TYRO4	9606	Homo sapiens	60	12	0	BIOGRID	Signal Transduction	-	-	-	-	-	-	-	-	-	-	-	-	-
110893	4829	-	NMBR	BB1	9606	Homo sapiens	2	0	0	BIOGRID	Signal Transduction	-	-	-	-	-	-	-	-	-	-	-	-	-
133417	390142	-	OR5D13	-	9606	Homo sapiens	0	1	0	BIOGRID	Signal Transduction	-	-	-	-	-	-	-	-	-	-	-	-	-
124861	91662	-	NLRP12	CLR19.3|FCAS2|NALP12|PAN6|PYPAF7|RNO|RNO2	9606	Homo sapiens	12	0	0	BIOGRID	Other	-	-	-	-	-	-	-	-	-	-	-	-	-
123847	84033	RP5-1139B12.1	OBSCN	ARHGEF30|UNC89	9606	Homo sapiens	61	40	0	BIOGRID	Signal Transduction	-	-	-	-	-	-	-	-	-	-	-	-	-
